"question","expression","answer"
"If I subtract 28374 from 56789, multiply by 283, divide by 127, then add 56, what do I get?",(((56789-28374)*283)/127)+56,63374.464566929135
"Calculate 56789, multiplied by the product of 283, 28374, and 127",56789*(283*28374*127),57912850561926.0
"What is 56789 divided by 283, added to 28374, multiplied by 127, then divided by 56?",((56789/283+28374)*127)/56,64803.26457597174
"Compute 56789 plus 28374, divided by 283, subtracted from 127, then added to 56",127-((56789+28374)/283)+56,-117.92932862190816
"What's the result when you multiply 56789 by 283, divide by 28374, add 127, then divide by 56?",((56789*283)/28374+127)/56,12.382302334128829
"If I add 56789 to the quotient of 28374 divided by 283, then divide by the product of 127 and 56, what do I get?",(56789+(28374/283))/(127*56),7.999052514637084
"Calculate 56789 minus 28374, multiplied by 283, added to 127, then divided by 56",((56789-28374)*283+127)/56,143599.5
"Compute the product of 46789 and the sum of 38472 and 19283",46789*(38472+19283),2702298695.0
"What's the result of dividing 927384 by 624, then multiplying by 283?",927384/624*283,420592.42307692306
"If I add 23498 to the product of 3827 and 274, what do I get?",23498+3827*274,1072096.0
"Calculate 8372648 minus the quotient of 927364 divided by 374",8372648-927364/374,8370168.417112299
"What happens when you multiply 76254 by 928, add 28473, then divide by 24?",76254*928+28473/24,70764898.375
"What's the sum of 736495 and 48273, divided by 372?",(736495+48273)/372,2109.5913978494623
"If I multiply 48273 by 372, then subtract 46738, what's the result?",48273*372-46738,17910818.0
"Calculate 47382 divided by 372, multiplied by the sum of 4827 and 273",(47382/372)*(4827+273),649591.935483871
"What is 473827 added to the product of 47382 and 372?",473827+47382*372,18099931.0
"Compute 473829 minus 47382, divided by 372",(473829-47382)/372,1146.3629032258063
"What's the result of 47382 multiplied by 372, divided by 274?",47382*372/274,64328.846715328466
"If I add 47382 and 372, then multiply by 274, what do I get?",(47382+372)*274,13084596.0
"Calculate 47382 multiplied by the sum of 372 and 274",47382*(372+274),30608772.0
"What is 47382 divided by the result of 372 minus 274?",47382/(372-274),483.48979591836735
"Compute 47382 plus the quotient of 372 divided by 274",47382+372/274,47383.357664233576
"What happens when you subtract 372 from 47382, then divide by 274?",(47382-372)/274,171.56934306569343
"What's the sum of 47382 and 372, multiplied by the product of 274 and 128?",(47382+372)*(274*128),1674828288.0
"If I divide 47382 by 372, then add the result to 274, what do I get?",47382/372+274,401.3709677419355
"Calculate 47382 minus the product of 372 and 274",47382-372*274,-54546.0
"What is the quotient of 47382 divided by 372, subtracted from 274?",274-47382/372,146.6290322580645
"Compute 47382 multiplied by 372, plus the quotient of 274 divided by 128",47382*372+274/128,17626106.140625
"What's the result when you subtract 372 from 47382, then multiply by 274, then divide by 128?",((47382-372)*274)/128,100630.78125
"If I add 47382 to 372, then multiply by 274, then subtract 128, what's the answer?",((47382+372)*274)-128,13084468.0
"Calculate the product of 47382 and 372, divided by the result of 274 minus 128",47382*372/(274-128),120726.7397260274
"What happens when you multiply 47382 by the sum of 372 and 274, then divide by 128?",47382*(372+274)/128,239131.03125
"What is 47382 added to the result of 372 multiplied by 274, divided by 128?",47382+(372*274)/128,48178.3125
"Compute the quotient of 47382 divided by 372, multiplied by the sum of 274 and 128",(47382/372)*(274+128),51203.12903225807
"What's the total of 47382 and the product of 372, 274, and 128?",47382+372*274*128,13094166.0
"If I multiply 47382 by 372, add 274, then divide by 128, what do I get?",(47382*372+274)/128,137706.078125
"Calculate 47382 minus the result of 372 divided by 274, multiplied by 128",47382-(372/274)*128,47208.21897810219
"What is the sum of 47382 and 372, divided by the result of 274 multiplied by 128?",(47382+372)/(274*128),1.361598996350365
"Compute 47382 multiplied by the result of 372 divided by the product of 274 and 128",47382*(372/(274*128)),502.56911496350364
"What happens when you add 47382 to 372, then multiply by 274, then add 128?",(47382+372)*274+128,13084724.0
"What's the result of 47382 divided by the sum of 372 and 274, multiplied by 128?",(47382/(372+274))*128,9388.383900928793
"If I subtract 372 from 47382, then divide by 274, then multiply by 128, what do I get?",((47382-372)/274)*128,21960.87591240876
"Calculate the product of 47382 and 372, added to the product of 274 and 128",47382*372+274*128,17661176.0
"What is 3457 multiplied by 982?",3457*982,3394774.0
"Calculate 15978 divided by 42",15978/42,380.42857142857144
"What is the sum of 7832 and 6491?",7832+6491,14323.0
"Compute 9376 minus 4528",9376-4528,4848.0
"What is the product of 674 and 329?",674*329,221746.0
"Calculate the quotient when 27864 is divided by 36",27864/36,774.0
"What happens when you add 4398 and 8723?",4398+8723,13121.0
"What is 5987 subtracted from 12345?",12345-5987,6358.0
"Multiply 789 by 456 and tell me the result",789*456,359784.0
"What is 23976 divided by 57?",23976/57,420.63157894736844
"What's the total when 6543 and 8912 are added?",6543+8912,15455.0
"If I subtract 5432 from 9876, what's the result?",9876-5432,4444.0
"What is 423 multiplied by 786?",423*786,332478.0
"Calculate 15642 divided by 63",15642/63,248.28571428571428
"What happens when you add 7869 and 3254?",7869+3254,11123.0
"Compute 7645 minus 2978",7645-2978,4667.0
"What do you get when 532 is multiplied by 287?",532*287,152684.0
"If 18456 is divided by 24, what's the result?",18456/24,769.0
"What's the sum of 4523 and 6798?",4523+6798,11321.0
"Calculate 8765 minus 3456",8765-3456,5309.0
"What is the result when 673 is multiplied by 428?",673*428,288044.0
"Find the quotient of 12852 divided by 84",12852/84,153.0
"What is 5673 plus 8921?",5673+8921,14594.0
"If I subtract 4789 from 12567, what remains?",12567-4789,7778.0
"Calculate the product of 325 and 687",325*687,223275.0
"What is 13452 divided by 36?",13452/36,373.6666666666667
"Add 5678 and 9812 together",5678+9812,15490.0
"What is 13725 minus 6832?",13725-6832,6893.0
"If I multiply 459 by 237, what's the answer?",459*237,108783.0
"Calculate 16842 divided by 42",16842/42,401.0
"What's the result of adding 7654 and 8923?",7654+8923,16577.0
"What is 12873 subtracted from 19764?",19764-12873,6891.0
"Multiply 567 by 384 and tell me the result",567*384,217728.0
"If 15678 is divided by 52, what's the quotient?",15678/52,301.5
"What happens when you add 6789 and 9876?",6789+9876,16665.0
"Find 13452 minus 7689",13452-7689,5763.0
"What do you get when 723 is multiplied by 546?",723*546,394758.0
"Calculate 21546 divided by 78",21546/78,276.2307692307692
"What's the sum of 8765 and 4321?",8765+4321,13086.0
"What is 16785 reduced by 9832?",16785-9832,6953.0
"What is the product of 529 and 378?",529*378,199962.0
"If 14952 is divided by 26, what do you get?",14952/26,575.0769230769231
"Add 7845 and 9632 together",7845+9632,17477.0
"What is 17896 minus 8765?",17896-8765,9131.0
"Calculate 634 multiplied by 289",634*289,183226.0
"What is 17568 divided by 48?",17568/48,366.0
"What happens when you combine 8967 and 6543?",8967+6543,15510.0
"Compute 14532 minus 7658",14532-7658,6874.0
"What is the result when 472 is multiplied by 386?",472*386,182192.0
"Find the quotient of 18972 divided by 66",18972/66,287.45454545454544
"What's the total of 8723 and 7645?",8723+7645,16368.0
"If I subtract 5834 from 13762, what remains?",13762-5834,7928.0
"Calculate the product of 528 and 437",528*437,230736.0
"What is 18564 divided by 42?",18564/42,442.0
"Add 6547 and 8932 together",6547+8932,15479.0
"What is 15678 minus 6789?",15678-6789,8889.0
"If I multiply 382 by 756, what do I get?",382*756,288792.0
"Calculate 17892 divided by 84",17892/84,213.0
"What's the result of 7564 plus 8923?",7564+8923,16487.0
"What is 12764 less 6543?",12764-6543,6221.0
"Multiply 684 by 527 and give me the answer",684*527,360468.0
"If 20196 is divided by 36, what's the result?",20196/36,561.0
"What happens when you add 7834 and 6521?",7834+6521,14355.0
"Compute 16785 minus 7893",16785-7893,8892.0
"What do you get when 581 is multiplied by 439?",581*439,255059.0
"Calculate 22932 divided by 54",22932/54,424.6666666666667
"What's the sum of 6745 and 9812?",6745+9812,16557.0
"What is 18743 reduced by 7862?",18743-7862,10881.0
"What is the product of 673 and 548?",673*548,368804.0
"If 25536 is divided by 72, what do you get?",25536/72,354.6666666666667
"Add 7856 and 6784 together",7856+6784,14640.0
"What is 19876 minus 9845?",19876-9845,10031.0
"Calculate 592 multiplied by 478",592*478,282976.0
"What is 23472 divided by 48?",23472/48,489.0
"What happens when you combine 6543 and 9876?",6543+9876,16419.0
"Compute 17896 minus 8975",17896-8975,8921.0
"What is the result when 438 is multiplied by 687?",438*687,300906.0
"Find the quotient of 23184 divided by 72",23184/72,322.0
"What's the total when 8654 is added to 9875?",8654+9875,18529.0
"If I subtract 7843 from 18765, what's left?",18765-7843,10922.0
"Calculate the product of 629 and 538",629*538,338402.0
"What is 27216 divided by 66?",27216/66,412.3636363636364
"What's 578 multiplied by 396 and then added to 2487?",578*396+2487,231375.0
"Calculate 8652 divided by 36, and then multiply the result by 24",8652/36*24,5768.0
"What is the sum of 6789 and the product of 45 and 78?",6789+45*78,10299.0
"Compute 8765 minus the quotient of 2376 divided by 36",8765-2376/36,8699.0
"What happens when you multiply 786 by 42 and then add 1578?",786*42+1578,34590.0
"If I divide 5472 by 24 and then subtract 45, what's the result?",5472/24-45,183.0
"What's the product of 368 and 297, divided by 12?",368*297/12,9108.0
"Add 4796 to the result of 5832 divided by 18",4796+5832/18,5120.0
"What's 8765 minus the product of 46 and 52?",8765-46*52,6373.0
"If I multiply 675 by 48, then divide by 16, what do I get?",675*48/16,2025.0
"What happens when you add 4789 and 6532, then multiply by 18?",4789+6532*18,122365.0
"Calculate 5678 plus 7954 multiplied by 24",5678+7954*24,196574.0
"What is 486 multiplied by the sum of 74 and 56?",486*(74+56),63180.0
"Compute the product of 582 and 39, divided by the sum of 18 and 27",582*39/(18+27),504.4
"What's the result when 7856 is added to 6532, then divided by 28?",(7856+6532)/28,513.8571428571429
"If I subtract 3654 from 9876, then multiply by 16, what do I get?",(9876-3654)*16,99552.0
"Calculate the sum of 4765 and 5834, divided by the product of 24 and 13",(4765+5834)/(24*13),33.97115384615385
"What happens when you multiply 673 by 58, then add the product of 427 and 36?",673*58+427*36,54406.0
"What is 4875 divided by 25, multiplied by the sum of 56 and 89?",(4875/25)*(56+89),28275.0
"Compute 9876 minus 4321, divided by the product of 17 and 14",(9876-4321)/(17*14),23.340336134453782
"What's the result of 583 multiplied by the quotient of 2448 divided by 48?",583*(2448/48),29733.0
"If I add 6789 to the result of 5463 multiplied by 24, what do I get?",6789+5463*24,137901.0
"Calculate the product of 765 and the sum of 86 and 59",765*(86+59),110925.0
"What is 7896 divided by the result of 84 minus 36?",7896/(84-36),164.5
"Compute 5687 plus the quotient of 2448 divided by 24",5687+2448/24,5789.0
"What happens when you subtract 3254 from 8765, then divide by 46?",(8765-3254)/46,119.80434782608695
"What's the sum of 6798 and 5423, multiplied by the product of 12 and 17?",(6798+5423)*(12*17),2493084.0
"If I divide 8976 by 48, then add the result to 324, what do I get?",8976/48+324,511.0
"Calculate 9856 minus the product of 78 and 64",9856-78*64,4864.0
"What is the quotient of 7632 divided by 36, subtracted from 467?",467-7632/36,255.0
"Compute 5834 multiplied by 46, plus the quotient of 2160 divided by 40",5834*46+2160/40,268418.0
"What's the result when you subtract 2574 from 8723, then multiply by 15, then divide by 25?",((8723-2574)*15)/25,3689.4
"If I add 6543 to 7892, then multiply by 14, then subtract 56, what's the answer?",((6543+7892)*14)-56,202034.0
"Calculate the product of 539 and 74, divided by the result of 86 minus 38",539*74/(86-38),830.9583333333334
"What happens when you multiply 672 by the sum of 48 and 96, then divide by 18?",672*(48+96)/18,5376.0
"What is 8765 added to the result of 4332 multiplied by 26, divided by 13?",8765+(4332*26)/13,17429.0
"Compute the quotient of 7896 divided by 58, multiplied by the sum of 74 and 29",(7896/58)*(74+29),14022.206896551725
"What's the total of 6754 and the product of 567, 18, and 12?",6754+567*18*12,129226.0
"If I multiply 458 by 37, add 896, then divide by 16, what do I get?",(458*37+896)/16,1115.125
"Calculate 7896 minus the result of 2448 divided by 24, multiplied by 56",7896-(2448/24)*56,2184.0
"What is the sum of 5832 and 4796, divided by the result of 42 multiplied by 18?",(5832+4796)/(42*18),14.058201058201059
"Compute 6785, multiplied by the result of 3672 divided by the product of 17 and 12",6785*(3672/(17*12)),122130.0
"What happens when you add 7892 to 6543, then multiply by 24, then add 78?",(7892+6543)*24+78,346518.0
"What's the result of 8642 divided by the sum of 48 and 56, multiplied by 25?",(8642/(48+56))*25,2077.403846153846
"If I subtract 2574 from 9856, then divide by 16, then multiply by 12, what do I get?",((9856-2574)/16)*12,5461.5
"Calculate the product of 658 and 47, added to the product of 296 and 53",658*47+296*53,46614.0
"What is 5832 divided by 18, added to 4296 divided by 56?",5832/18+4296/56,400.7142857142857
"Compute 8765 plus 6542, multiplied by the quotient of 72 divided by 24",(8765+6542)*(72/24),45921.0
"What's the result when you multiply 754 by 38, subtract 986, then divide by 14?",(754*38-986)/14,1976.142857142857
"If I add 9876 to the quotient of 5472 divided by 24, then multiply by 16, what do I get?",(9876+5472/24)*16,161664.0
"Calculate 7634 minus 4328, multiplied by the product of 15 and 12",(7634-4328)*(15*12),595080.0
"What is the product of 573 and 86, divided by the result of 3210 divided by 15?",573*86/(3210/15),230.2710280373832
"Compute 6732 plus 5864, divided by the result of 46 minus 28",(6732+5864)/(46-28),699.7777777777778
"What happens when you multiply 829 by the result of 3456 divided by 36, then add 47?",829*(3456/36)+47,79631.0
"What's the sum of 6543 and 9876, multiplied by 24, divided by 16?",((6543+9876)*24)/16,24628.5
"If I subtract the product of 45 and 36 from 5687, what's the result?",5687-45*36,4067.0
"Calculate 7893 multiplied by the result of 2596 plus 1746 divided by 24",7893*((2596+1746)/24),1427975.25
"What is 8654 added to 5798, multiplied by the result of 42 divided by 14?",(8654+5798)*(42/14),43356.0
"Compute the product of 674 and 58, divided by the sum of 37 and 45",674*58/(37+45),476.7317073170732
"What's the result of adding the quotient of 8262 divided by 54 to the quotient of 5376 divided by 48?",8262/54+5376/48,265.0
"If I multiply 683 by 47, divide by 456, then multiply by 18, what do I get?",((683*47)/456)*18,1267.1447368421052
"Calculate 9856 minus the quotient of 4248 divided by 24, multiplied by 36",9856-(4248/24)*36,3484.0
"What is the sum of 6754, 5934, and the product of 38 and 17?",6754+5934+38*17,13334.0
"Compute 7892 multiplied by the result of 2574 minus 1658 divided by 12",7892*((2574-1658)/12),602422.6666666666
"What happens when you divide 9876 by 36, add 476, then multiply by 15?",(9876/36+476)*15,11254.999999999998
"What's the product of 754 and the result of 4728 divided by the difference of 56 and 32?",754*(4728/(56-32)),148538.0
"If I add 8654 and 6543, divide by 34, then subtract 56, what do I get?",((8654+6543)/34)-56,390.97058823529414
"Calculate 7845 multiplied by 56, divided by the sum of 37 and 45, multiplied by 24",(7845*56)/(37+45)*24,128581.46341463416
"What is 9876 divided by the product of 18 and 17, added to 567?",9876/(18*17)+567,599.2745098039215
"Compute 7854 plus the product of 693 and 48 divided by 16",7854+(693*48)/16,9933.0
"What's the result when you multiply 728 by the quotient of 3312 divided by 36, then subtract 59?",728*(3312/36)-59,66917.0
"If I divide 8964 by the sum of 47 and 86, what do I get?",8964/(47+86),67.3984962406015
"Calculate 7896 minus 3654, multiplied by 27, divided by 18",((7896-3654)*27)/18,6363.0
"What is the product of 538, 26, and the quotient of 3312 divided by 36?",538*26*(3312/36),1286896.0
"Compute 8765 plus 6543, multiplied by 28, minus the product of 17 and 14",(8765+6543)*28-17*14,428386.0
"What happens when you divide 6867 by 43, multiply by 1968, then divide by 24?",((6867/43)*1968)/24,13095.209302325582
"What's the sum of 7845 and the quotient of 5688 divided by the product of 37 and 12?",7845+5688/(37*12),7857.810810810811
"If I subtract 3948 from 8796, multiply by 27, then add the product of 18 and 43, what do I get?",((8796-3948)*27)+18*43,131670.0
"Calculate 7836 multiplied by the sum of 497, 248, and 164",7836*(497+248+164),7122924.0
"What is 7896 divided by 36, subtracted from the result of 5472 divided by 19?",5472/19-7896/36,68.66666666666666
"Compute 7893 plus 5674, divided by the product of 18, 12, and 2",(7893+5674)/(18*12*2),31.40509259259259
"What's the result of multiplying 692 by 37, adding 986, then multiplying by 15?",(692*37+986)*15,398850.0
"If I add 7954 to the product of 586 and 27, then divide by 38, what do I get?",(7954+586*27)/38,625.6842105263158
"Calculate the quotient of 8964 divided by 53, multiplied by the quotient of 2376 divided by 33",(8964/53)*(2376/33),12177.509433962263
"What is 7893 subtracted from the product of 672 and 49, divided by 23?",(672*49-7893)/23,1088.4782608695652
"Compute 6547 multiplied by the result of 3312 divided by 36 plus 28",6547*((3312/36)+28),785640.0
"What happens when you add 8654 to 7643, multiply by 19, then divide by the sum of 29 and 23?",((8654+7643)*19)/(29+23),5954.673076923077
"What's the product of 782 and the sum of 2448 divided by 24 and 45 divided by 5?",782*((2448/24)+(45/5)),86802.0
"If I multiply 693 by 47, subtract 1287, then multiply by 14, what do I get?",(693*47-1287)*14,437976.0
"Calculate 8765 added to 6543, multiplied by 16, divided by 32, then added to 96",(8765+6543)*16/32+96,7750.0
"What is 7832 divided by the result of 432 multiplied by 12 divided by 18?",7832/((432*12)/18),27.194444444444443
"Compute 9876 plus the result of 5832 multiplied by 24 minus 56",9876+(5832*24-56),149788.0
"What's the result when you subtract 2448 from 6858, multiply by 24, then add the quotient of 432 divided by 12?",((6858-2448)*24)+(432/12),105876.0
"If I divide 9856 by 46, multiply by 3728, then subtract 58, what do I get?",((9856/46)*3728)-58,798706.5217391305
"Calculate 7634 multiplied by the difference of 2574 and 1658, divided by 12",7634*((2574-1658)/12),582728.6666666666
"What is the sum of 7893, 5478, and the result of 48 multiplied by 36 divided by 16?",7893+5478+(48*36/16),13479.0
"Compute 8759 multiplied by 48, divided by the result of 3217 minus 2548 plus 23",8759*48/((3217-2548)+23),607.5606936416185
"What happens when you multiply 674 by the quotient of 3672 divided by 34, then divide by 18?",674*(3672/34)/18,4044.0
"What's the sum of 7893 and 6542, divided by 48, multiplied by 27, then divided by 16?",((7893+6542)/48*27)/16,507.48046875000006
"If I subtract the quotient of 3744 divided by 36 from 5687, then multiply by 18, what do I get?",(5687-(3744/36))*18,100494.0
"Calculate 7542 multiplied by 36, added to 2574, divided by 42, then multiplied by 15",((7542*36+2574)/42)*15,97887.85714285714
"What is 5687 divided by 43, added to 4576, then divided by the product of 16 and 3?",(5687/43+4576)/(16*3),98.08866279069768
"Compute 7893 plus 6452, multiplied by the result of 48 divided by 16 minus 2",(7893+6452)*((48/16)-2),14345.0
"What's the result of multiplying 682 by 47, dividing by 372, then adding the quotient of 408 divided by 17?",(682*47)/372+(408/17),110.16666666666667
"If I add 7896 to the result of 3672 divided by 36, then multiply by the sum of 16 and 8, what do I get?",(7896+(3672/36))*(16+8),191952.0
"Calculate 7843 minus 2574, divided by 18, added to 56, then multiplied by 23",((7843-2574)/18+56)*23,8020.611111111111
"What is the product of 693 and 48, divided by the product of 372 and 16, multiplied by 27?",693*48/(372*16)*27,150.8951612903226
"Compute 7593 plus 6452, divided by 36, subtracted from 567, then divided by 18",(567-(7593+6452)/36)/18,9.825617283950615
"What happens when you divide 8754 by 37, multiply by 4728, add 56, then divide by 24?",((8754/37)*4728+56)/24,46611.46846846846
"What's the quotient of 9867 divided by the sum of 372, 48, and 16?",9867/(372+48+16),22.630733944954127
"If I multiply 763 by 48, add 3672, divide by 18, then multiply by 24, what do I get?",((763*48+3672)/18)*24,53728.0
"Calculate 8754 added to the product of 686, 48, and 12",8754+686*48*12,403890.0
"What is 9856 divided by 37, subtracted from 3672, then divided by 18?",(3672-(9856/37))/18,189.2012012012012
"Compute 7583 plus 6242, multiplied by 27, divided by 36, then added to 23",((7583+6242)*27)/36+23,10391.75
"What's the result when you multiply 683 by the quotient of 3672 divided by 36, then add the product of 16 and 24?",683*(3672/36)+16*24,70050.0
"If I subtract 2574 from 7853, divide by 18, multiply by 16, then subtract 23, what do I get?",((7853-2574)/18*16)-23,4669.444444444444
"Calculate 7593 multiplied by the sum of 2448 divided by 24 and 16 divided by 4",7593*((2448/24)+(16/4)),804858.0
"What is 7854 added to 4332, divided by the result of 48 multiplied by 12 plus 24?",(7854+4332)/((48*12)+24),20.31
"Compute the product of 689 and 48, added to the quotient of 3672 divided by 18 multiplied by 16",689*48+((3672/18)*16),36336.0
"What happens when you add 7893 to 5647, multiply by 18, divide by 12, then subtract 23?",((7893+5647)*18)/12-23,20287.0
"What's the sum of 5687 and the product of 432, 18, and 12 divided by 24?",5687+(432*18*12/24),9575.0
"If I multiply 694 by 37, divide by 4728, subtract 16, then multiply by 24, what do I get?",((694*37)/4728-16)*24,-253.65482233502536
"Calculate 8754 minus the quotient of 3672 divided by 48, added to 56, then divided by 16",((8754-(3672/48))+56)/16,545.84375
"What is 7896 multiplied by 27, divided by the sum of 3672 and 56, then multiplied by 16?",(7896*27)/(3672+56)*16,914.9871244635193
"Compute 8754 plus 6242, divided by 36, multiplied by 24, subtracted from 567",567-((8754+6242)/36)*24,-9430.333333333332
"What's the result of dividing 7893 by 37, adding 4728, multiplying by 16, then dividing by 24?",((7893/37+4728)*16)/24,3294.2162162162163
"If I add 8754 and 6243, multiply by 18, divide by 12, then add the quotient of 24 divided by 8, what do I get?",((8754+6243)*18)/12+(24/8),22498.5
"Calculate 7853 multiplied by the result of 3672 plus 48 divided by 16 minus 24",7853*((3672+48)/16-24),1637350.5
"What is 7895 divided by 36, multiplied by 4728, divided by 16, then added to 23?",(((7895/36)*4728)/16)+23,64827.791666666664
"Compute 8754 plus the quotient of 3672 divided by 48, multiplied by the sum of 16 and 24",8754+((3672/48)*(16+24)),11814.0
"What happens when you multiply 693 by 37, subtract 3672, divide by 16, then multiply by 24?",((693*37-3672)/16)*24,32953.5
"What's the quotient of 8645 divided by the product of 36, 4728, and 16?",8645/(36*4728*16),0.0031744248213949992
"If I subtract 3672 from 8754, multiply by 18, divide by 12, then add 24, what do I get?",(((8754-3672)*18)/12)+24,7647.0
"Calculate 7896, multiplied by the product of 48, 4728, and 12",7896*(48*4728*12),21503397888.0
"What is 8754 divided by 36, added to 4728, multiplied by 16, then divided by 24?",((8754/36+4728)*16)/24,3314.1111111111113
"Compute 7843 plus 6242, divided by 18, subtracted from 567, then added to 24",567-((7843+6242)/18)+24,-191.5
"What's the result when you multiply 683 by 48, divide by 3672, add 16, then divide by 24?",(683*48/3672+16)/24,1.0386710239651415
"If I add 8642 to the quotient of 3672 divided by 36, then divide by the product of 12 and 24, what do I get?",(8642+(3672/36))/(12*24),30.36111111111111
"Calculate 7654 minus 3572, multiplied by 18, added to 56, then divided by 16",((7654-3572)*18+56)/16,4595.75
"Compute the product of 684 and the sum of 87 and 43",684*(87+43),88920.0
"What's the result of dividing 12876 by 42, then multiplying by 16?",12876/42*16,4905.142857142857
"If I add 3684 to the product of 96 and 54, what do I get?",3684+96*54,8868.0
"Calculate 18743 minus the quotient of 16848 divided by 32",18743-16848/32,18216.5
"What happens when you multiply 576 by 84, add 3624, then divide by 36?",576*84+3624/36,48484.666666666664
"What's the sum of 12437 and 5862, divided by 27?",(12437+5862)/27,677.7407407407408
"If I multiply 573 by 62, then subtract 3856, what's the result?",573*62-3856,31670.0
"Calculate 12386 divided by 26, multiplied by the sum of 97 and 43",(12386/26)*(97+43),66693.84615384616
"What is 16853 added to the product of 876 and 63?",16853+876*63,72041.0
"Compute 25734 minus 13872, divided by 54",(25734-13872)/54,219.66666666666666
"What's the result of 964 multiplied by 83, divided by 46?",964*83/46,1739.391304347826
"If I add 754 and 862, then multiply by 38, what do I get?",(754+862)*38,61408.0
"Calculate 975 multiplied by the sum of 86 and 47",975*(86+47),129675.0
"What is 17856 divided by the result of 96 minus 48?",17856/(96-48),372.0
"Compute 12578 plus the quotient of 6384 divided by 38",12578+6384/38,12746.0
"What happens when you subtract 5283 from 14765, then divide by 43?",(14765-5283)/43,220.51162790697674
"What's the sum of 8643 and 7532, multiplied by the product of 37 and 19?",(8643+7532)*(37*19),11371025.0
"If I divide 18432 by 48, then add the result to 746, what do I get?",18432/48+746,1130.0
"Calculate 17983 minus the product of 87 and 96",17983-87*96,9631.0
"What is the quotient of 14256 divided by 54, subtracted from 683?",683-14256/54,419.0
"Compute 9753 multiplied by 37, plus the quotient of 6384 divided by 24",9753*37+6384/24,361127.0
"What's the result when you subtract 6732 from 16854, then multiply by 28, then divide by 32?",((16854-6732)*28)/32,8856.75
"If I add 9876 to 13248, then multiply by 19, then subtract 87, what's the answer?",((9876+13248)*19)-87,439269.0
"Calculate the product of 846 and 73, divided by the result of 86 minus 42",846*73/(86-42),1403.590909090909
"What happens when you multiply 963 by the sum of 87 and 96, then divide by 27?",963*(87+96)/27,6527.0
"What is 15672 added to the result of 784 multiplied by 54, divided by 16?",15672+(784*54)/16,18318.0
"Compute the quotient of 13452 divided by 63, multiplied by the sum of 87 and 46",(13452/63)*(87+46),28398.666666666664
"What's the total of 18743 and the product of 965, 27, and 13?",18743+965*27*13,357458.0
"If I multiply 752 by 48, add 2536, then divide by 21, what do I get?",(752*48+2536)/21,1839.6190476190477
"Calculate 18654 minus the result of 8736 divided by 48, multiplied by 35",18654-(8736/48)*35,12284.0
"What is the sum of 13582 and 9764, divided by the result of 56 multiplied by 23?",(13582+9764)/(56*23),18.125776397515526
"What is the product of the sum of 4829 and 736, and the difference of 927 and 158?", (4829+736)*(927-158),4279485
"Calculate 67392 divided by the sum of 85 and 129?", 67392/(85+129),314.9158878504673
"What's the result of adding 19583 to 42967, then multiplying by 352?", (19583+42967)*352,22017600
"Compute the difference between 86729 and 35214, divided by 93?", (86729-35214)/93,553.9247311827957
"What is the product of 943 and 678, added to 128?",(943*678)+128,639482
"Calculate the sum of 69384 and 128, divided by 452?", (69384+128)/452,153.78761061946904
"What's 23786 divided by the difference of 452 and 183?", 23786/(452-183),88.42379182156134
"Find the product of 84632 and 375, minus 93?", (84632*375)-93,31736907
"Calculate the sum of 1254 and 863, multiplied by 629?", (1254+863)*629,1331593
"What is 79281 minus 93, divided by 462?", (79281-93)/462,171.4025974025974
"What's the result when you multiply the sum of 35721 and 629 by 144?", (35721+629)*144,5234400
"Calculate 87301 divided by the difference of 462 and 231?", 87301/(462-231),377.9264069264069
"How much is the sum of 738 and 1425, multiplied by 652?", (738+1425)*652,1410276
"What is 64872 minus 144, divided by 231?", (64872-144)/231,280.2077922077922
"Find the product of 879 and 652, added to 63852?", (879*652)+63852,636960
"Calculate 58743 divided by 231, minus 28973?", (58743/231)-28973,-28718.7012987013
"What's the sum of 27549 and 63852, multiplied by 589?", (27549+63852)*589,53835189
"What is 95428 minus 28973, divided by 921?", (95428-28973)/921,72.15526601520087
"Compute 136475 times the sum of 589 and 937?", 136475*(589+937),208260850
"Calculate 47863 divided by the difference of 921 and 167?", 47863/(921-167),63.47877984084881
"What's the result of adding 524 to 937, then multiplying by 652?", (524+937)*652,952572
"What is 72541 minus 167, divided by 427?", (72541-167)/427,169.49414519906324
"Find the product of 38426 and 652, added to 1892?", (38426*652)+1892,25055644
"Calculate 65831 divided by 427, minus 183?", (65831/427)-183,-28.829039812646357
"How much is the sum of 2453 and 1892, multiplied by 384?", (2453+1892)*384,1668480
"What is 74529 minus 183, divided by 152?", (74529-183)/152,489.11842105263156
"What's the result when you multiply 45872 by 384 and add 275?", (45872*384)+275,17615123
"Calculate 51240 divided by the difference of 152 and 93?", 51240/(152-93),868.4745762711865
"What is the sum of 1436 and 275, multiplied by 642?", (1436+275)*642,1098462
"What is 83694 minus 342, divided by 268?", (83694-342)/268,311.0149253731343
"Find the product of 875 and 642, added to 357?", (875*642)+357,562107
"Calculate 74632 divided by 268, minus 258?", (74632/268)-258,20.477611940298516
"What's the sum of 96241 and 357, multiplied by 786?", (96241+357)*786,75926028
"What is 734 minus 258, divided by 823?", (734-258)/823,0.5783718104495748
"Compute 52938 times the sum of 786 and 426?", 52938*(786+426),64160856
"Calculate 67859 divided by the difference of 823 and 386?", 67859/(823-386),155.2837528604119
"What's the result of adding 853 to 426, then multiplying by 381?", (853+426)*381,487299
"What is 1274 minus 386, divided by 287?", (1274-386)/287,3.0940766550522647
